전체 D2 업무별 밸류드라이버 & KPI,,,,,,,,,
Date : 2026.04.21,,,,,,,,,
,,,,"*파란색 정성 지표, 초록색 정량 지표 ",,,,,
상품 개발,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,기획/개발 리드타임, = 기획 시작~개발 완료까지 평균 소요일,,,,
상품 개발,사업 지원 및 NW 운영비용 절감,사업 지원 비용,업무 자동화율,기획/개발 업무 수작업 처리 비율, = 수작업 처리 건수 ÷ 전체 기획/개발 업무 건수,,,,
상품 개발,사업 지원 및 NW 운영비용 절감,사업 지원 비용,출시 품질 (장애/버그 억제),출시 후 초기 장애/버그 발생률, = 출시 후 N일 내 장애/버그 건수 ÷ 신규 출시 상품 수,,,,
상품 검증,사업 지원 및 NW 운영비용 절감,사업 지원 비용,출시 품질 (장애/버그 억제),출시 후 초기 장애/버그 발생률, = 출시 후 N일 내 장애/버그 건수 ÷ 신규 출시 상품 수,,,,
상품 출시,신규 타겟 세그먼트 유입,고객 침투율,오퍼 도달/노출률 (Reach Rate),고객 오퍼 도달률/노출률, = 오퍼 도달/노출 고객 수 ÷ 타겟 고객 수,,,,
상품 출시,ARPU 증대,유치시점 ARPU,요금제 업그레이드 전환율,요금제 업그레이드 전환율(중가→고가/4G→5G), =요금제 업그레이드 고객 수 / 전체 고객 수,,,,
상품 운영,기존 핵심 세그먼트 유지,고객 유지,고객 만족도 (Loyalty 지수),고객 서비스 만족도, = 만족도 결과 (NPS 점수 等),,,,
상품/마케팅 프로그램 운영,ARPU 증대,할인/제휴,할인 적용률,선택약정할인 적용률, = 선택약정할인 적용 고객 수 ÷ 선택약정할인 적용 대상 고객 수,,,,
상품/마케팅 프로그램 운영,ARPU 증대,할인/제휴,고객당 할인/혜택 적용액,고객당 포인트/쿠폰/캐시백 적용액, = 포인트/쿠폰/캐시백 총액 ÷ 적용 고객 수,,,,
상품/마케팅 프로그램 운영,ARPU 증대,할인/제휴,할인 적용률,장기고객/등급 할인 적용률, = 장기고객/등급 할인 적용 고객 수 ÷ 장기고객/등급 할인 적용 대상 고객 수,,,,
상품/마케팅 프로그램 운영,고객 획득 및 관리 비용 절감,고객 관리 비용,운영/재무/채널 비용,고객당 멤버십 및 혜택 비용, = 멤버십 및 혜택 비용 ÷ 전체 고객 수,,,,
상품 성과 관리,ARPU 증대,유치시점 ARPU,요금제 믹스 (고가 비중),중·고가 요금제 비중, =중·고가 요금제 고객 수 / 전체 고객 수,,,,
상품 성과 관리,ARPU 증대,유치시점 ARPU,요금제 업그레이드 전환율,요금제 업그레이드 전환율(중가→고가/4G→5G), = 요금제 업그레이드 고객 수 ÷ 전체 고객 수,,,,
상품 성과 관리,ARPU 증대,유치시점 ARPU,부가상품 Attach Rate (가입률),부가서비스 Attach Rate(부가서비스 가입율), = 부가서비스 가입 고객 수 ÷ 전체 고객 수,,,,
상품 성과 관리,ARPU 증대,M+8 실질 ARPU,서비스 이용률,"서비스 이용률 (통화,데이터,컨텐츠)", =통화/데이터/컨텐츠 이용 고객 수 / 전체 고객 수,,,,
판매 중단 준비,ARPU 증대,M+8 실질 ARPU,서비스 이용률,"서비스 이용률 (통화,데이터,컨텐츠)", =통화/데이터/컨텐츠 이용 고객 수 / 전체 고객 수,,,,
상품 퇴출 준비,ARPU 증대,M+8 실질 ARPU,서비스 이용률,"서비스 이용률 (통화,데이터,컨텐츠)", =통화/데이터/컨텐츠 이용 고객 수 / 전체 고객 수,,,,
상품 퇴출,사업 지원 및 NW 운영비용 절감,사업 지원 비용,업무 자동화율,기획/개발 업무 수작업 처리 비율, =수작업 처리 건수 / 전체 기획/개발 업무 건수,,,,
상품/마케팅 프로그램 탐색,신규 타겟 세그먼트 유입,고객 침투율,오퍼 도달/노출률 (Reach Rate),랜딩/상품상세 진입율, = 랜딩/상품상세 진입 고객 수 ÷ 광고 노출 고객 수,,,,
상품/마케팅 프로그램 탐색,신규 타겟 세그먼트 유입,유입 만족도,온보딩 경험 품질,상품/서비스 탐색 완료율, = 상품/서비스 탐색 완료 고객 수 ÷ 상품/서비스 탐색 시작 고객 수,,,,
상품/마케팅 프로그램 탐색,신규 타겟 세그먼트 유입,고객 침투율,오퍼 반응률 (Click-Through Rate),요금제/단말 비교·시뮬레이션 완료율, = 요금제/단말 비교∙시뮬레이션 완료 고객 수 ÷ 요금제/단말 비교∙시뮬레이션 시작 고객 수,,,,
고객 인증,신규 타겟 세그먼트 유입,고객 침투율,개통 성공률 (Activation Rate),유입 단계별 이탈률, = 단계 내 이탈 고객 수 ÷ 단계 진입 고객 수 (funnel 단계별 산출),,,,
동의-약관,신규 타겟 세그먼트 유입,고객 침투율,개통 성공률 (Activation Rate),유입 단계별 이탈률, = 단계 내 이탈 고객 수 ÷ 단계 진입 고객 수 (funnel 단계별 산출),,,,
통합회원 정보,신규 타겟 세그먼트 유입,고객 침투율,개통 성공률 (Activation Rate),유입 단계별 이탈률, = 단계 내 이탈 고객 수 ÷ 단계 진입 고객 수 (funnel 단계별 산출),,,,
통합회원 정보,사업 지원 및 NW 운영비용 절감,고객 사업 지원 및 NW 운영 비용,IT/SW/서버 운영 비용,고객당 IT 운영 비용, = IT 운영 비용 ÷ 전체 고객 수,,,,
현황 분석,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,기획/개발 리드타임, = 과제별 (개발 완료일 - 기획 착수일) ÷ 기간 內 개발 완료 과제 수 ,,,,
현황 분석,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,시나리오/콘텐츠 재사용률, =기존 자산 재활용 기반 시나리오/콘텐츠 건수 / 전체 신규 건수,,,,
Segment 발굴,신규 타겟 세그먼트 유입,타겟 세그먼트 고객 수,CVM 세그먼트 커버리지율,CVM 대상 고객 세그 커버리지, = CVM 관리 세그먼트에 포함된 고객 수 ÷ 전체 고객 수,,,,
Segment 발굴,신규 타겟 세그먼트 유입,타겟 세그먼트 고객 수,타겟 세그먼트 예측 정교도,세그먼트 예측 정확도, = 예측 세그먼트 분류와 실제 행동이 일치한 고객 수 ÷ 예측 세그먼트 대상 고객 수,,,,
Segment 발굴,기존 핵심 세그먼트 유지,핵심 세그먼트 고객 수,핵심 세그먼트 식별 고객 수,High Future Value 고객군 수,예시적 핵심 세그먼트,,,,
인게이지먼트 Unit 수립,기존 핵심 세그먼트 유지,고객 유지,인게이지먼트 효율,고객당 유효 인게이지먼트 빈도, = 기간 내 유효 반응 인게이지먼트 수 ÷ 기간 내 총 인게이지먼트 발송 수,,,,
인게이지먼트 Unit 수립,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,시나리오/콘텐츠 재사용률, =기존 자산 재활용 기반 시나리오/콘텐츠 건수 / 전체 신규 건수,,,,
CVM 이니셔티브 정의,NA (전사 목표와 이니셔티브 정합성),NA,NA,NA,NA,,,,
시나리오 설계,신규 타겟 세그먼트 유입,고객 침투율,오퍼 반응률 (Click-Through Rate),고객 오퍼 반응률, = 오퍼 반응 고객 수 ÷ 오퍼 도달/노출 고객 수,,,,
시나리오 설계,기존 핵심 세그먼트 유지,고객 유지,해지 억제율,이탈 예측 정확도, = 이탈 예측 적중 고객 수 ÷ 이탈 예측 대상 고객 수,,,,
시나리오 설계,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,시나리오/콘텐츠 재사용률, = 기존 자산 재활용 기반 시나리오/콘텐츠 건수 ÷ 전체 신규 시나리오/콘텐츠 건수,,,,
콘텐츠 기획,신규 타겟 세그먼트 유입,고객 침투율,오퍼 반응률 (Click-Through Rate),고객 오퍼 반응률, = 오퍼 반응 고객 수 ÷ 오퍼 도달/노출 고객 수,,,,
콘텐츠 기획,신규 타겟 세그먼트 유입,유입 만족도,고객 유입 만족도,첫 오퍼 적합도 점수, = 고객 행동(클릭/수락/장기유지 등) 기반 오퍼 적합도 스코어 평균,,,,
콘텐츠 기획,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,시나리오/콘텐츠 재사용률, = 기존 자산 재활용 기반 시나리오/콘텐츠 건수 ÷ 전체 신규 시나리오/콘텐츠 건수,,,,
콘텐츠 기획,고객 획득 및 관리 비용 절감,고객당 획득 비용,채널 효율성,메시지/오퍼 실행 품질, = 만족도 결과 (NPS 점수 等),,,,
시나리오 컨펌,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,기획/개발 리드타임, = 기획 시작~개발 완료까지 평균 소요일,,,,
기획 완료,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,기획/개발 리드타임, = 기획 시작~개발 완료까지 평균 소요일,,,,
기획 완료,사업 지원 및 NW 운영비용 절감,사업 지원 비용,업무 자동화율,기획/개발 업무 수작업 처리 비율, = 수작업 처리 건수 ÷ 전체 기획/개발 업무 건수,,,,
오퍼셋 개발/요청 관리,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,기획/개발 리드타임, = 기획 시작~개발 완료까지 평균 소요일,,,,
오퍼셋 개발/요청 관리,사업 지원 및 NW 운영비용 절감,사업 지원 비용,업무 자동화율,기획/개발 업무 수작업 처리 비율, = 수작업 처리 건수 ÷ 전체 기획/개발 업무 건수,,,,
시나리오 개발/요청 관리,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,기획/개발 리드타임, = 기획 시작~개발 완료까지 평균 소요일,,,,
시나리오 개발/요청 관리,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,시나리오/콘텐츠 재사용률, = 기존 자산 재활용 기반 시나리오/콘텐츠 건수 ÷ 전체 신규 시나리오/콘텐츠 건수,,,,
시나리오 개발/요청 관리,사업 지원 및 NW 운영비용 절감,사업 지원 비용,업무 자동화율,기획/개발 업무 수작업 처리 비율, = 수작업 처리 건수 ÷ 전체 기획/개발 업무 건수,,,,
콘텐츠 개발/요청 관리,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,기획/개발 리드타임, = 기획 시작~개발 완료까지 평균 소요일,,,,
콘텐츠 개발/요청 관리,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,시나리오/콘텐츠 재사용률, = 기존 자산 재활용 기반 시나리오/콘텐츠 건수 ÷ 전체 신규 시나리오/콘텐츠 건수,,,,
최종 검토/승인,사업 지원 및 NW 운영비용 절감,사업 지원 비용,기획/개발 리드타임 효율,기획/개발 리드타임, = 기획 시작~개발 완료까지 평균 소요일,,,,
최종 검토/승인,고객 획득 및 관리 비용 절감,고객당 획득 비용,채널 효율성,메시지/오퍼 실행 품질, = 만족도 결과 (NPS 점수 等),,,,
실행/모니터링,신규 타겟 세그먼트 유입,고객 침투율,오퍼 도달/노출률 (Reach Rate),고객 오퍼 도달률/노출률, = 오퍼 도달/노출 고객 수 ÷ 타겟 고객 수,,,,
실행/모니터링,신규 타겟 세그먼트 유입,고객 침투율,오퍼 반응률 (Click-Through Rate),고객 오퍼 반응률, = 오퍼 반응 고객 수 ÷ 오퍼 도달/노출 고객 수,,,,
실행/모니터링,기존 핵심 세그먼트 유지,고객 유지,인게이지먼트 효율,고객 피로도," = 고객 접촉 경험 점수 (메시지/오퍼 부담감, 빈도 적절성 관련 문항 기반 설문)",,,,
실행/모니터링,기존 핵심 세그먼트 유지,고객 유지,인게이지먼트 효율,채널 간 메시지 충돌/중복 발생률, = 동일 고객에게 중복/충돌 메시지 발송된 건수 ÷ 전체 메시지 발송 건수,,,,
파일럿 테스트,신규 타겟 세그먼트 유입,고객 침투율,오퍼 반응률 (Click-Through Rate),고객 오퍼 반응률, = 오퍼 반응 고객 수 ÷ 오퍼 도달/노출 고객 수,,,,
파일럿 테스트,ARPU 증대,M+8 실질 ARPU,개인화 오퍼 적중률,개인화 오퍼 적중률, = 오퍼 수락 고객 수 ÷ 개인화 오퍼 발송 고객 수,,,,
파일럿 테스트,ARPU 증대,M+8 실질 ARPU,Up-sell 성과,Up-sell 전환 성공율, = 업셀 성공 고객 수 ÷ 업셀 제안 고객 수,,,,
오케스트레이션,신규 타겟 세그먼트 유입,고객 침투율,오퍼 도달/노출률 (Reach Rate),고객 오퍼 도달률/노출률, = 오퍼 도달/노출 고객 수 ÷ 타겟 고객 수,,,,
오케스트레이션,기존 핵심 세그먼트 유지,고객 유지,인게이지먼트 효율,채널 간 메시지 충돌/중복 발생률, = 동일 고객에게 중복/충돌 메시지 발송된 건수 ÷ 전체 메시지 발송 건수,,,,
오케스트레이션,기존 핵심 세그먼트 유지,고객 유지,인게이지먼트 효율,고객당 유효 인게이지먼트 빈도, = 기간 내 유효 반응 인게이지먼트 수 ÷ 기간 내 총 인게이지먼트 발송 수,,,,
오케스트레이션,고객 획득 및 관리 비용 절감,고객 관리 비용,운영/재무/채널 비용,고객당 커뮤니케이션 발송비, = 커뮤니케이션 발송 비용 ÷ 전체 고객 수,,,,
데이터 수집,사업 지원 및 NW 운영비용 절감,고객 사업 지원 및 NW 운영 비용,IT/SW/서버 운영 비용,시스템 가동률(Uptime), = 시스템 가동 시간 ÷ 측정 기간 전체 시간,,,,
데이터 수집,사업 지원 및 NW 운영비용 절감,고객 사업 지원 및 NW 운영 비용,IT/SW/서버 운영 비용,고객당 IT 운영 비용, = IT 운영 비용 ÷ 전체 고객 수,,,,
성과 결과 조회,사업 지원 및 NW 운영비용 절감,사업 지원 비용,업무 자동화율,기획/개발 업무 수작업 처리 비율, = 수작업 처리 건수 ÷ 전체 기획/개발 업무 건수,,,,
성과 결과 활용,NA(결과 활용 통한 인사이트 도출),NA,NA,NA,NA,,,,
상담 전략 수립,고객 획득 및 관리 비용 절감,고객 관리 비용,Legacy 채널 응대 처리 비용,평균 상담 처리시간 (AHT), = SUM(상담별 {상담 종료 시각 - 상담 시작 시각} + 후처리 시간) ÷ 상담 건수  ※ 단위: 초(sec),,,,
상담 전략 수립,고객 획득 및 관리 비용 절감,고객 관리 비용,Legacy 채널 응대 처리 비용,1차 처리완료율 (FCR), = 1차 접촉만으로 해결 완료된 문의 건수 ÷ 전체 문의 건수,,,,
상담 전략 수립,고객 획득 및 관리 비용 절감,고객 관리 비용,리텐션/관리 비용,고객당 채널 운영비, = 채널 운영 비용 ÷ 전체 고객 수,,,,
상담 역량-인프라 설계,기존 핵심 세그먼트 유지,고객 유지,고객 만족도 (Loyalty 지수),옴니채널 고객 만족도, = 만족도 결과 (NPS 점수 等),,,,
상담 역량-인프라 설계,고객 획득 및 관리 비용 절감,고객 관리 비용,리텐션/관리 비용,고객당 채널 운영비, = 채널 운영 비용 ÷ 전체 고객 수,,,,
상담 역량-인프라 설계,고객 획득 및 관리 비용 절감,고객 관리 비용,AI/디지털 자동화율,AICC 자동 처리 비율, = AICC 자동 처리 건수 ÷ 총 상담 건수,,,,
상담 품질 관리,기존 핵심 세그먼트 유지,고객 유지,고객 만족도 (Loyalty 지수),옴니채널 고객 만족도, = 만족도 결과 (NPS 점수 等),,,,
판매 상담,신규 타겟 세그먼트 유입 ,고객 유입 만족도,고객 유입 만족도,상담 품질 만족도, = 만족도 결과 (NPS 점수 等),,,,
판매 상담,신규 타겟 세그먼트 유입,유입 만족도,초기 VoC/이탈 억제율,맞춤 오퍼 전환율, = 맞춤 오퍼 제시 후 가입 확정 건수 / 맞춤 오퍼 제시 건수,,,,
판매 상담,ARPU 증대,유치시점 ARPU,요금제 믹스 (고가 비중),중·고가 요금제 비중, =중·고가 요금제 고객 수 / 전체 고객 수,,,,
판매 상담,ARPU 증대,M+8 실질 ARPU,Up-sell 성과,Up-sell 전환 성공율, =업셀 성공 고객 수 / 업셀 제안 고객 수,,,,
판매 상담,ARPU 증대,M+8 실질 ARPU,Cross-sell 성과,Cross-sell 전환 성공율, =크로스셀 구매 고객 수 / 크로스셀 제안 고객 수,,,,
상담 배정,고객 획득 및 관리 비용 절감,AICC 자동 처리 비율,AI/디지털 자동화율,AICC 전환/처리완료율, = AICC 자동 처리 건수 ÷ 총 상담 건수,,,,
고객 상담,고객 획득 및 관리 비용 절감,총 인바운드 상담콜 수,Legacy 채널 응대 처리 비용,1차 처리완료율 (FCR), = 1차 접촉에서 해결된 건수 ÷ 전체 문의  건수,,,,
고객 상담,고객 획득 및 관리 비용 절감,고객 관리 비용,Legacy 채널 응대 처리 비용,평균 상담 처리시간 (AHT), = 총 상담 처리시간(상담시간 + 후처리시간) ÷ 상담 건수,,,,
고객 상담,고객 획득 및 관리 비용 절감,고객 관리 비용,Legacy 채널 응대 처리 비용,고객 응대 처리 비용 효율, = 고객 응대 처리 비용 ÷ 고객 응대 처리 완료 건수,,,,
고객 상담,기존 핵심 세그먼트 유지,옴니채널 고객 만족도,고객 만족도 (Loyalty 지수),고객 서비스 만족도, = 만족도 결과 (NPS 점수 等),,,,
상담 후처리,고객 획득 및 관리 비용 절감,채널운영비용,Legacy 채널 응대 처리 비용,후처리 자동화율, =상담 후처리 자동화 건수  ÷ 총 상담 후처리 업무처리 건수,,,,
상담 후처리,고객 획득 및 관리 비용 절감,채널운영비용,Legacy 채널 응대 처리 비용,후처리 누락률, = 후처리 누락 건수 / 전체 후처리 업무처리 건수,,,,
상담 후처리,기존 핵심 세그먼트 유지,옴니채널 고객 만족도,고객 만족도 (Loyalty 지수),SOP 위반 상담 관련 불만 인입 건수," = Auto QA 도입으로 불완전/불친절 상담, SOP 위반 상담 최소화",,,,
미납 상담,고객 획득 및 관리 비용 절감,고객 관리 비용,리텐션/관리 비용,고객당 미납 관리비, =미납 관리 비용 ÷ 전체 고객 수,,,,
미납 상담,고객 획득 및 관리 비용 절감,고객 관리 비용,Legacy 채널 응대 처리 비용,1차 처리완료율 (FCR), =1차 접촉에서 해결된 건수 ÷ 전체 문의 건수,,,,
오퍼 상담,기존 핵심 세그먼트 유지,고객 유지,해지 방어 성공률,고객 해지 방어 반응률 (CTR), =해지 방어 오퍼 반응 고객 수 ÷ 해지 의향 고객 수,,,,
오퍼 상담,기존 핵심 세그먼트 유지,고객 유지,해지 방어 성공률,고객 해지 방어 성공률 (CVR), =해지 철회 고객 수 ÷ 해지 방어 반응 고객 수,,,,
오퍼 상담,기존 핵심 세그먼트 유지,고객 유지,해지 방어 성공률,맞춤 오퍼 반응률 (기존 고객), =기존 고객 대상 맞춤 오퍼 반응 고객 수 ÷ 오퍼 발송 고객 수,,,,
