CJM_L1,CJM_L2,CJM_L3,CJM_L3코드,관련_L4(근거),SBF_업무ID,SBF_1Depth,SBF_2Depth,SBF_3Depth(업무명),BSS_화면수,BSS_대표화면(최대5),신뢰도,매칭근거,검수상태(승인/수정/반려),검수메모
구매/가입/개통,T우주 구독 가입,구독 상품 결제,ord_univ_pay,상품 약관 동의,B2008,2.회원·계정,동의·약관,신용정보 조회 동의 처리,6,ZORDSS0500320 한신평 신용정보 조회 | ZORDSS0100180 고객신용확인 | ZORDSS0100800 개인신용정보조회 | ZORDSS0101020 고객신용동의이미지 첨부 | ZORDSCUS00032 신청정보입력공통(SUB),중,용어일치: 동의·약관 / 단계축 일치 / L4 [상품 약관 동의] 기준,,
구매/가입/개통,T우주 구독 가입,구독 상품 결제,ord_univ_pay,상품 약관 동의,B2009,2.회원·계정,동의·약관,메시지 거부자 등록/변경,0,,중,용어일치: 동의·약관 / 단계축 일치 / L4 [상품 약관 동의] 기준,,
구매/가입/개통,T우주 구독 가입,구독 상품 선택,ord_univ_join,,B3002,3.계약·개통,계약·개통,그룹회원 상품/마케팅 프로그램 가입,0,,중,용어일치: 가입·상품 / 동의어: 개통 / 단계축 일치,,
구매/가입/개통,T우주 구독 가입,구독 상품 선택,ord_univ_join,,B3010,3.계약·개통,계약·개통,제휴상품(구독) 가입,0,,중,용어일치: 가입·구독 / 동의어: 개통 / 단계축 일치,,
구매/가입/개통,T우주 구독 가입,구독 상품 선택,ord_univ_join,,BC087,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,채널 연동,가입/변경/해지(가입/변경/해지(Order))/상품 변경요청,0,,중,용어일치: 가입·상품 / 단계축 일치,,
구매/가입/개통,T우주 구독 가입,구독 상품 선택,ord_univ_join,,BC088,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,채널 연동,가입/변경/해지(가입/변경/해지(Order))/상품 조회,0,,중,용어일치: 가입·상품 / 단계축 일치,,
구매/가입/개통,T우주 구독 가입,구독 상품 선택,ord_univ_join,,B3001,3.계약·개통,계약·개통,Device 가입,47,ZORDSS08S0040 다회선단말기변경 | ZORDSS08S0041 다회선단말기변경 처리이력 조회 | ZORDSS08S0080 다회선 OMD변경 | ZORDSS08S0051 I/B SIM 재사용 처리 결과 조회 화면 | ZORDSS08S0050 I/B SIM 재사용 처리 화면,중,용어일치: 가입 / 동의어: 개통 / 단계축 일치,,
구매/가입/개통,T우주 구독 가입,구독 상품 선택,ord_univ_join,,B3003,3.계약·개통,계약·개통,마케팅프로그램 가입,158,ZORDSS9970040 캐쉬백차감 | ZORDSS0500540 SAVE결제리스트 | ZORDSS9990600 T모아쿠폰 등록/취소 | ZORDSS9990610 T모아쿠폰 적용 서비스 조회 | ZORDSS9990620 T모아쿠폰 상세 및 I/F이력 확인,중,용어일치: 가입 / 동의어: 개통 / 단계축 일치,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 신청서 작성,ord_act_self,유형 선택(기기변경/번호이동/신규가입),B3028,3.계약·개통,가입적격 심사,번호이동처리,13,ZORDSS1200010 번호이동인증 | ZORDSS1200020 번호이동처리이력 | ZORDSS1200090 PORT-IN업무요청처리 | ZORDSS1200100 전사업자 문자청구서 전환관리 | ZORDSS1200110 번호이동 재처리,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 신청서 작성,ord_act_self,유형 선택(기기변경/번호이동/신규가입),B3051,3.계약·개통,가입적격 심사,유선번호이동처리,0,,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 신청서 작성,ord_act_self,,BA308,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,eSIM 개통 이력 조회/수수료 관리,70,ZEQPSMDL00035 대표모델관리 | ZEQPSMDL00037 단말기 펫네임 일괄등록 | ZEQPSMDL00145 단말기모델속성(P) | ZEQPSMDL00260 단말기준정보전송 | ZEQPSMDL00039 펫네임등록,상,용어일치: esim·개통 / 단계축 일치,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 신청서 작성,ord_act_self,유형 선택(기기변경/번호이동/신규가입),BC053,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,가입/변경/해지(가입/변경/해지(Order)) 기준정보 관리,번호이동기준정보,5,ZORDSS1200030 번호이동에러코드Mapping | ZORDSS1200610 번호이동사업자관리 | ZORDSS1200620 번호이동코드매핑관리 | ZORDSS1200710 번호이동 오류율 조회 | ZORDSS1200920 번호이동 일대사작업관리,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 신청서 작성,ord_act_self,유형 선택(기기변경/번호이동/신규가입),BC056,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,무선 가입 운영,번호이동대사,0,,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 신청서 작성,ord_act_self,유형 선택(기기변경/번호이동/신규가입),BC147,고객 여정,가입적격 심사,번호이동처리(IT),13,ZORDSS1200010 번호이동인증 | ZORDSS1200020 번호이동처리이력 | ZORDSS1200090 PORT-IN업무요청처리 | ZORDSS1200100 전사업자 문자청구서 전환관리 | ZORDSS1200110 번호이동 재처리,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 휴대폰 세팅,ord_act_setup,,BA308,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,eSIM 개통 이력 조회/수수료 관리,70,ZEQPSMDL00035 대표모델관리 | ZEQPSMDL00037 단말기 펫네임 일괄등록 | ZEQPSMDL00145 단말기모델속성(P) | ZEQPSMDL00260 단말기준정보전송 | ZEQPSMDL00039 펫네임등록,상,용어일치: esim·개통 / 동의어: 디바이스 / 단계축 일치,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 휴대폰 세팅,ord_act_setup,,BC149,고객 여정,계약변경,USIM / 이심변경(IT),8,ZPOSSMNGS0010 POS업무처리 | ZPOSSMNG00010 POS업무처리결과조회 | ZPOSSMNG00090 POS업무비과금대상처리 | ZPOSSMNG00110 UCMS인터페이스로그 조회 | ZPOSSMNG00130 POS업무모니터링,중,용어일치: usim / 동의어: 이심 / 단계축 일치,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 휴대폰 세팅,ord_act_setup,,BA301,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,로밍단말기/충전용품 재고관리,34,ZROMSR0100120 로밍단말기 조회 | ZROMSR0100150 로밍단말기 이동내역 조회 | ZROMSR0100160 로밍단말기 모델별 재고현황 | ZROMSR0100110 로밍단말기 부품이동 내역조회 | ZROMSR0100130 로밍단말기 이력조회,중,동의어: 단말·단말기·디바이스 / 단계축 일치,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 휴대폰 세팅,ord_act_setup,,BA302,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,로밍단말기/충전용품 A/S,0,,중,동의어: 단말·단말기·디바이스 / 단계축 일치,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 휴대폰 세팅,ord_act_setup,,BA260,상품,디바이스관리,단말기 코드 관리,63,ZEQPSCIR00085 CEIR결과조회 | ZEQPSESN00210 IMEI TAC 매핑기준관리 | ZEQPSESN00200 IMEI TAC 정보 관리 | ZEQPSESN00150 OMD 단말등록 | ZEQPSESN00141 타사 단말기 이용 신청 내역 조회,중,동의어: 단말·단말기·디바이스 / 단계축 일치,,
구매/가입/개통,USIM/eSIM 개통,USIM/eSIM 휴대폰 세팅,ord_act_setup,,BA094,상품,디바이스관리,중고단말기 관리,4,ZPSCSINC92421 중고단말기등록해제요청유형 상세 | ZPSCSINC92430 대리점별중고단말기해제요청/승인 | ZPSCSINC92420 중고단말기등록해제요청 | ZPSCSINCS0120 중고단말기상세관리,중,동의어: 단말·단말기·디바이스 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터]  인터넷/B tv 가입,ord_net_offline,,B3009,3.계약·개통,계약·개통,인터넷/TV/전화 유선 가입,20,ZORDSB0100010 유선서비스신규가입 | ZORDSB0100013 해지서비스승계내역조회 | ZORDSB0100018 고객동의 ARS송출 | ZORDSB0100020 유선 동일장소 기존회선 안내 | ZORDSB0100040 유선신규가입미리보기,상,용어일치: tv·가입·개통·인터넷 / 동의어: 유선 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터]  인터넷/B tv 가입,ord_net_offline,,B3017,3.계약·개통,계약·개통,인터넷 가입,0,,상,용어일치: 가입·개통·인터넷 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터]  인터넷/B tv 가입,ord_net_offline,,B3068,3.계약·개통,계약·개통(S마켓),인터넷전용회선 다회선가입,0,,상,용어일치: 가입·개통·인터넷 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터]  인터넷/B tv 가입,ord_net_offline,,B3018,3.계약·개통,계약·개통,TV 가입,0,,상,용어일치: tv·가입·개통 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터]  인터넷/B tv 가입,ord_net_offline,,B3065,3.계약·개통,계약·개통(기업),기업IPTV 가입,0,,상,용어일치: 가입·개통 / 동의어: iptv / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터]  인터넷/B tv 가입,ord_net_offline,,B3067,3.계약·개통,계약·개통(S마켓),TV 다회선가입,0,,상,용어일치: tv·가입·개통 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 디바이스 선택,ord_offline_device,,BA301,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,로밍단말기/충전용품 재고관리,34,ZROMSR0100120 로밍단말기 조회 | ZROMSR0100150 로밍단말기 이동내역 조회 | ZROMSR0100160 로밍단말기 모델별 재고현황 | ZROMSR0100110 로밍단말기 부품이동 내역조회 | ZROMSR0100130 로밍단말기 이력조회,상,용어일치: 디바이스 / 동의어: 단말·단말기 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 디바이스 선택,ord_offline_device,,BA302,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,로밍단말기/충전용품 A/S,0,,상,용어일치: 디바이스 / 동의어: 단말·단말기 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 디바이스 선택,ord_offline_device,,BA260,상품,디바이스관리,단말기 코드 관리,63,ZEQPSCIR00085 CEIR결과조회 | ZEQPSESN00210 IMEI TAC 매핑기준관리 | ZEQPSESN00200 IMEI TAC 정보 관리 | ZEQPSESN00150 OMD 단말등록 | ZEQPSESN00141 타사 단말기 이용 신청 내역 조회,상,용어일치: 디바이스 / 동의어: 단말·단말기 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 디바이스 선택,ord_offline_device,,BA094,상품,디바이스관리,중고단말기 관리,4,ZPSCSINC92421 중고단말기등록해제요청유형 상세 | ZPSCSINC92430 대리점별중고단말기해제요청/승인 | ZPSCSINC92420 중고단말기등록해제요청 | ZPSCSINCS0120 중고단말기상세관리,상,용어일치: 디바이스 / 동의어: 단말·단말기 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 디바이스 선택,ord_offline_device,,BA096,상품,디바이스관리,타사 단말기 관리,0,,상,용어일치: 디바이스 / 동의어: 단말·단말기 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 디바이스 선택,ord_offline_device,,BA308,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,eSIM 개통 이력 조회/수수료 관리,70,ZEQPSMDL00035 대표모델관리 | ZEQPSMDL00037 단말기 펫네임 일괄등록 | ZEQPSMDL00145 단말기모델속성(P) | ZEQPSMDL00260 단말기준정보전송 | ZEQPSMDL00039 펫네임등록,상,용어일치: 개통·디바이스 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 원스톱 개통/신청서 작성,ord_offline_apply,"SIM 구매 유무 및 USIM, eSIM 선택",BC149,고객 여정,계약변경,USIM / 이심변경(IT),8,ZPOSSMNGS0010 POS업무처리 | ZPOSSMNG00010 POS업무처리결과조회 | ZPOSSMNG00090 POS업무비과금대상처리 | ZPOSSMNG00110 UCMS인터페이스로그 조회 | ZPOSSMNG00130 POS업무모니터링,중,"용어일치: usim / 단계축 일치 / L4 [SIM 구매 유무 및 USIM, eSIM 선택] 기준",,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 원스톱 개통/신청서 작성,ord_offline_apply,휴대폰 배송 방법 선택 및 배송 정보 확인,BA301,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,로밍단말기/충전용품 재고관리,34,ZROMSR0100120 로밍단말기 조회 | ZROMSR0100150 로밍단말기 이동내역 조회 | ZROMSR0100160 로밍단말기 모델별 재고현황 | ZROMSR0100110 로밍단말기 부품이동 내역조회 | ZROMSR0100130 로밍단말기 이력조회,중,단계축 일치 / L4 [휴대폰 배송 방법 선택 및 배송 정보 확인] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 원스톱 개통/신청서 작성,ord_offline_apply,휴대폰 배송 방법 선택 및 배송 정보 확인,BA302,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,로밍단말기/충전용품 A/S,0,,중,단계축 일치 / L4 [휴대폰 배송 방법 선택 및 배송 정보 확인] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 원스톱 개통/신청서 작성,ord_offline_apply,휴대폰 배송 방법 선택 및 배송 정보 확인,BA260,상품,디바이스관리,단말기 코드 관리,63,ZEQPSCIR00085 CEIR결과조회 | ZEQPSESN00210 IMEI TAC 매핑기준관리 | ZEQPSESN00200 IMEI TAC 정보 관리 | ZEQPSESN00150 OMD 단말등록 | ZEQPSESN00141 타사 단말기 이용 신청 내역 조회,중,단계축 일치 / L4 [휴대폰 배송 방법 선택 및 배송 정보 확인] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 원스톱 개통/신청서 작성,ord_offline_apply,휴대폰 배송 방법 선택 및 배송 정보 확인,BA094,상품,디바이스관리,중고단말기 관리,4,ZPSCSINC92421 중고단말기등록해제요청유형 상세 | ZPSCSINC92430 대리점별중고단말기해제요청/승인 | ZPSCSINC92420 중고단말기등록해제요청 | ZPSCSINCS0120 중고단말기상세관리,중,단계축 일치 / L4 [휴대폰 배송 방법 선택 및 배송 정보 확인] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 원스톱 개통/신청서 작성,ord_offline_apply,휴대폰 배송 방법 선택 및 배송 정보 확인,BA096,상품,디바이스관리,타사 단말기 관리,0,,중,단계축 일치 / L4 [휴대폰 배송 방법 선택 및 배송 정보 확인] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 주문 진행 (대리점 - 스마트플래너),ord_offline_form,가입 유형 선택(기기변경/번호이동/신규가입),B3028,3.계약·개통,가입적격 심사,번호이동처리,13,ZORDSS1200010 번호이동인증 | ZORDSS1200020 번호이동처리이력 | ZORDSS1200090 PORT-IN업무요청처리 | ZORDSS1200100 전사업자 문자청구서 전환관리 | ZORDSS1200110 번호이동 재처리,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [가입 유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 주문 진행 (대리점 - 스마트플래너),ord_offline_form,가입 유형 선택(기기변경/번호이동/신규가입),B3051,3.계약·개통,가입적격 심사,유선번호이동처리,0,,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [가입 유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 주문 진행 (대리점 - 스마트플래너),ord_offline_form,가입 유형 선택(기기변경/번호이동/신규가입),BC053,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,가입/변경/해지(가입/변경/해지(Order)) 기준정보 관리,번호이동기준정보,5,ZORDSS1200030 번호이동에러코드Mapping | ZORDSS1200610 번호이동사업자관리 | ZORDSS1200620 번호이동코드매핑관리 | ZORDSS1200710 번호이동 오류율 조회 | ZORDSS1200920 번호이동 일대사작업관리,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [가입 유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 주문 진행 (대리점 - 스마트플래너),ord_offline_form,가입 유형 선택(기기변경/번호이동/신규가입),BC056,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,무선 가입 운영,번호이동대사,0,,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [가입 유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 주문 진행 (대리점 - 스마트플래너),ord_offline_form,가입 유형 선택(기기변경/번호이동/신규가입),BC147,고객 여정,가입적격 심사,번호이동처리(IT),13,ZORDSS1200010 번호이동인증 | ZORDSS1200020 번호이동처리이력 | ZORDSS1200090 PORT-IN업무요청처리 | ZORDSS1200100 전사업자 문자청구서 전환관리 | ZORDSS1200110 번호이동 재처리,상,용어일치: 가입·번호이동 / 동의어: 가입 / 단계축 일치 / L4 [가입 유형 선택(기기변경/번호이동/신규가입)] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점/고객센터] 주문 진행 (대리점 - 스마트플래너),ord_offline_form,요금제 및 부가서비스 선택,B3042,3.계약·개통,선물하기,이동전화(후불요금제) 선물하기,0,,중,용어일치: 요금·요금제 / 단계축 일치 / L4 [요금제 및 부가서비스 선택] 기준,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점] 개통 및 휴대폰 설정,ord_offline_setup,"개통 처리 (USIM 장착/활성화, eSIM 현장개통 지원)",BA308,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,eSIM 개통 이력 조회/수수료 관리,70,ZEQPSMDL00035 대표모델관리 | ZEQPSMDL00037 단말기 펫네임 일괄등록 | ZEQPSMDL00145 단말기모델속성(P) | ZEQPSMDL00260 단말기준정보전송 | ZEQPSMDL00039 펫네임등록,상,"용어일치: esim·개통 / 동의어: 디바이스 / 단계축 일치 / L4 [개통 처리 (USIM 장착/활성화, eSIM 현장개통 지원)] 기준",,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점] 개통 및 휴대폰 설정,ord_offline_setup,"개통 처리 (USIM 장착/활성화, eSIM 현장개통 지원)",BC149,고객 여정,계약변경,USIM / 이심변경(IT),8,ZPOSSMNGS0010 POS업무처리 | ZPOSSMNG00010 POS업무처리결과조회 | ZPOSSMNG00090 POS업무비과금대상처리 | ZPOSSMNG00110 UCMS인터페이스로그 조회 | ZPOSSMNG00130 POS업무모니터링,중,"용어일치: usim / 단계축 일치 / L4 [개통 처리 (USIM 장착/활성화, eSIM 현장개통 지원)] 기준",,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점] 개통 및 휴대폰 설정,ord_offline_setup,,BA301,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,로밍단말기/충전용품 재고관리,34,ZROMSR0100120 로밍단말기 조회 | ZROMSR0100150 로밍단말기 이동내역 조회 | ZROMSR0100160 로밍단말기 모델별 재고현황 | ZROMSR0100110 로밍단말기 부품이동 내역조회 | ZROMSR0100130 로밍단말기 이력조회,중,동의어: 단말·단말기·디바이스 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점] 개통 및 휴대폰 설정,ord_offline_setup,,BA302,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,디바이스관리,로밍단말기/충전용품 A/S,0,,중,동의어: 단말·단말기·디바이스 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점] 개통 및 휴대폰 설정,ord_offline_setup,,BA260,상품,디바이스관리,단말기 코드 관리,63,ZEQPSCIR00085 CEIR결과조회 | ZEQPSESN00210 IMEI TAC 매핑기준관리 | ZEQPSESN00200 IMEI TAC 정보 관리 | ZEQPSESN00150 OMD 단말등록 | ZEQPSESN00141 타사 단말기 이용 신청 내역 조회,중,동의어: 단말·단말기·디바이스 / 단계축 일치,,
구매/가입/개통,[대리점/고객센터] 구매/개통,[대리점] 개통 및 휴대폰 설정,ord_offline_setup,,BA094,상품,디바이스관리,중고단말기 관리,4,ZPSCSINC92421 중고단말기등록해제요청유형 상세 | ZPSCSINC92430 대리점별중고단말기해제요청/승인 | ZPSCSINC92420 중고단말기등록해제요청 | ZPSCSINCS0120 중고단말기상세관리,중,동의어: 단말·단말기·디바이스 / 단계축 일치,,
구매/가입/개통,결합 상품 가입,[대리점/고객센터] 결합 신청,ord_combo_offline,,B3002,3.계약·개통,계약·개통,그룹회원 상품/마케팅 프로그램 가입,0,,중,용어일치: 가입·상품 / 동의어: 개통 / 단계축 일치,,
구매/가입/개통,결합 상품 가입,[대리점/고객센터] 결합 신청,ord_combo_offline,,BA152,채널,대리점 개설 관리,가입자 이관,13,ZPSCSSTS11120 유선가입자이관 요청관리 | ZPSCSSTS11131 유선가입자이관 요청상세(매장별) | ZPSCSSTS11132 유선가입자이관 요청상세(서비스별) | ZPSCSSTS11135 유선가입자이관 처리결과 | ZPSCSSTS60110 가입자이관요청등록메인,중,용어일치: 가입·대리점 / 단계축 일치,,
구매/가입/개통,결합 상품 가입,[대리점/고객센터] 결합 신청,ord_combo_offline,,BA125,채널,대리점 운영,매장정보관리,9,ZPSMSPRF10110 매장리스트 | ZPSMSPRF10120 매장상세정보 | ZPSMSPRF70410 유통망 주소 좌표 설정 | ZPSMSPRF10130 본직영점교체 | ZPSMSPRF10030 파트너접촉이력,중,용어일치: 대리점 / 동의어: 매장 / 단계축 일치,,
구매/가입/개통,결합 상품 가입,[대리점/고객센터] 결합 신청,ord_combo_offline,,BA121,채널,대리점 평가 관리,매장평가실적관리,3,ZPSMSPRF90950 소매매장별통계 | ZPSMSPRF90970 T매장인증제 항목별 실적 조회 | ZPSMSPRF90901 프로파일조직도리스트(T-SHOP),중,용어일치: 대리점 / 동의어: 매장 / 단계축 일치,,
구매/가입/개통,결합 상품 가입,[대리점/고객센터] 결합 신청,ord_combo_offline,,BC087,가입/변경/해지(가입/변경/해지(Order))/풀필먼트 운영,채널 연동,가입/변경/해지(가입/변경/해지(Order))/상품 변경요청,0,,중,용어일치: 가입·상품 / 단계축 일치,,
